,text,date,amusement_parks,ferris_wheels,water_parks,miniature_parks,baths_and_saunas,climbing,stadiums,winter_sports,natural_springs,water,nature_reserves,beaches,railway_stations,dams,mints,mineshafts,science_museums,churches,cathedrals,monasteries,synagogues,hindu_temples,mosques,archaeology,castles,fortified_towers,bunkers,military_museums,battlefields,war_graves,cemeteries,mausoleums,crypts,monuments,tumuluses,wall_painting,fountains,sculptures,gardens_and_parks,archaeological_museums,art_galleries,biographical_museums,history_museums,local_museums,national_museums,fashion_museums,planetariums,zoos,aquariums,skyscrapers,towers,historic_architecture,bridges
38,"Ponadto mam zamiłowanie do rowerów i częstych wizyt w basenach i innych popularnych miejscach turystycznych..Moje ulubione miejsca do jedzenia i spędzania czasu to restauracje, w których lubię naprawiać rowery i lubię spędzać wolny czas z przyjaciółmi",Od 5 do 30 sierpnia,5,3,5,3,5,4,0,3,5,5,2,5,4,3,2,4,5,4,2,4,3,5,5,3,4,3,5,2,1,3,5,2,1,4,2,3,4,2,5,3,2,4,3,2,4,5,5,3,4,5,3,4,2
39,".Fascynuje mnie świat przyrody, zwłaszcza zwierzęta i rośliny.Lubię podróżować i odkrywać nowe miejsca, a także jeść w restauracjach serwujących sushi i inne kuchnie azjatyckie",W najbliższy weekend.,3,1,0,1,0,3,0,2,4,3,5,1,0,0,0,2,2,2,2,2,2,2,2,1,4,4,2,0,0,1,0,0,2,0,1,0,0,0,3,0,0,0,0,2,2,0,5,5,5,1,1,2,0
40,".Przyciągają mnie również fantazja i science fiction, uwielbiam odkrywać nowe miejsca i wolę spędzać czas w naturze, niż być złapanym w zgiełku życia miasta.Lubię grać w gry takie jak karty lub gry turowe i czytać książki, a czasem oglądać serie.Moje zainteresowania obejmują matematykę, fizykę, gry komputerowe i planszowe, a także muzykę elektroniczną",od 2 do 10 sierpnia,3,0,4,1,1,1,0,1,1,4,4,2,0,0,0,3,3,3,5,2,4,4,4,3,4,4,2,1,1,1,1,2,2,1,1,3,2,2,1,3,3,1,2,2,2,0,4,2,2,1,1,3,1
41,"Lubię też odkrywać nowe miejsca poprzez przygody lub odwiedzanie atrakcji, które zapewniają mi ekscytację i jestem otoczony interesującymi ludźmi..Najbardziej imponujące zabytki miasta to ten, który widzę w nocy.Lubię sport i muzykę, grając na perkusji i granie w gry komputerowe",Od 1 do 6 grudnia.,5,5,4,1,4,5,5,3,0,3,2,4,0,3,1,4,4,0,0,0,0,2,2,0,3,3,4,1,1,0,0,0,1,0,0,0,0,0,0,0,4,1,2,2,0,5,4,1,2,5,1,1,3
42,".Fascynuje mnie historia i literatura, szczególnie klasyczne związane z polską historią i okresem międzywojennym.Preferuję odwiedzanie historycznych miejsc, takich jak biblioteki lub muzea, które honorują niektóre osoby, a także odkrywanie muzeów sztuki, które nie są współczesne.Lubię czytać książki i pisać po angielsku","Za tydzień, od 17 do 19 listopada",0,2,1,1,4,0,1,1,2,1,2,3,1,1,2,4,4,3,3,1,2,3,2,4,3,2,1,0,3,2,2,2,2,1,2,1,2,3,2,4,5,5,5,4,5,5,2,5,4,2,2,5,2
43,"Lubię też czytać książki i serie, szczególnie fantasy i science fiction, i wolę spędzać czas na wolności, zamiast być złapanym w zgiełku życia miasta.Dodatkowo lubię grać w muzykę elektroniczną i grać w gry takie jak karta lub inne gry turowe.Interesuje mnie matematyka, fizyka, komputer i gry planszowe.",od 2 do 10 sierpnia,3,0,4,1,1,1,0,1,1,4,4,2,0,0,0,3,3,3,5,2,4,4,4,3,4,4,2,1,1,1,1,2,2,1,1,3,2,2,1,3,3,1,2,2,2,0,4,2,2,1,1,3,1
44,"Moje główne zainteresowania polegają na odkrywaniu nowych technologii i problemów naukowych, a także poznanie historii odwiedzanych miejsc.Lubię odwiedzać atrakcje, które oferują historyczne możliwości uczenia się dzięki innowacyjnej technologii, ale nie jestem skłonny uczestniczyć w uciążliwych działaniach.Dodatkowo lubię kuchnię śródziemnomorską.",Od najbliższego piątku do poniedziałku.,2,3,1,1,1,0,1,1,1,2,3,1,2,3,3,3,4,1,1,2,1,1,2,3,4,4,3,3,2,2,1,1,3,1,3,0,0,0,0,1,3,2,2,3,1,0,3,2,2,5,2,1,2
45,"Moje zainteresowanie leży w lotnictwie, podczas gdy lubię chodzić po lesie i brać powietrze, co może być trudne w Krakowie.Ponadto rozkoszuję się spożywaniem lokalnych potraw, nawet z ograniczonym oznakowaniem wskazującym BLA BLA.",Jestem tam przez cały rok,4,3,2,2,3,4,1,0,4,4,4,4,3,4,1,3,4,2,2,2,2,2,2,3,4,4,4,4,4,3,1,1,2,2,0,4,4,2,2,3,3,3,3,3,4,0,4,4,4,5,5,3,5
46,"Moje zainteresowania obejmują psychologię ludzi i psów, sztukę ogólną, fizykę, spacery po górach (jako entuzjasta na świeżym powietrzu), uczestniczenie w wydarzeniach takich jak pokoje ucieczki, przejażdżki w parkach naukowych, granie w gry rólowe i angażowanie się w działania związane z działaniami związanymi zVR.Ludzie, którzy są zadowoleni z ludzi i ich kultury, spodoba mi się, ale mam też przyjemność z odkrywania otaczającego mnie świata.",Od 20 do 30 kwietnia ,5,2,5,3,5,5,3,5,3,5,2,2,5,1,1,5,5,2,2,2,2,3,2,3,2,2,4,2,2,2,1,1,1,2,3,4,4,4,4,1,5,2,2,1,1,3,5,5,5,2,4,2,2
47,"Fascynuje mnie otaczający mnie świat, ale znajduję pociechę u ludzi, którzy są zadowoleni ze siebie i swojej kultury, szczególnie tych, którzy identyfikują się jako LGBT..Lubię również uczestniczyć w różnych zajęciach, takich jak pokoje ucieczki, parki naukowe, poszukiwacze emocji i angażowanie się w interaktywne wydarzenia, takie jak Watters.Mam hobby, takie jak psychologia ludzi i psów, sztuka i fizyka, i lubię spacerować po górach",Od 20 do 30 kwietnia ,5,2,5,3,5,5,3,5,3,5,2,2,5,1,1,5,5,2,2,2,2,3,2,3,2,2,4,2,2,2,1,1,1,2,3,4,4,4,4,1,5,2,2,1,1,3,5,5,5,2,4,2,2
48,"Gry planszowe i jazda na rowerze są moimi preferowanymi rozrywkami, ale mam ograniczony czas na poświęcenie wydarzeń towarzyskich.Ponadto muzea są głównymi miejscami, w których często odwiedzam zajęcia rekreacyjne, podczas gdy moje preferencje są jadalni w Bistros, pubach i zakładach fast food.",od 10 do 11 listopada,5,4,5,5,5,5,4,3,5,5,5,3,4,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
49,".Lubię też grać w pokojach ucieczki, centrach naukowych (takich jak nauka), malownicze wycieczki rowerowe, kąpiele lub baseny z przyjaciółmi.Ponadto rozkoszuję się jadalnią w małych, atmosferycznych restauracjach, które serwują lokalne potrawy lub konkretną kuchnię zagraniczną, taką jak Indian lub Azja.Gry planszowe, książki karne i podcasty True Crime to moje preferowane rozrywki",Od 1 lipca do 7 lipca,5,3,3,2,5,3,1,1,1,4,5,5,2,3,5,5,5,1,4,4,3,3,3,5,5,4,5,4,4,2,1,3,3,0,1,1,3,1,1,5,2,5,5,3,5,4,5,5,5,5,5,5,3
50,"Interesuje się zarówno sztuką, jak i architekturą, z preferencją dla tego pierwszego.Najbardziej atrakcyjnymi miejscami do zobaczenia są dobrze zachowane zabytki, podczas gdy jadąc w ekskluzywnych restauracjach, wolę jeść w dobrze oświetlonych miejscach.Lubię literaturę rysowania i fantasy w wolnym czasie.","Wycieczka zacznie się wyjazdem  22 listopada , o godzinie 9:30, zakończy 27 listopada a planowany powrót to godzina około 21:00",0,2,0,0,1,2,2,2,3,5,5,5,1,2,0,5,4,4,5,2,2,3,1,4,5,2,0,0,0,0,0,2,0,3,2,3,4,4,5,4,5,5,4,0,1,0,0,2,4,5,5,5,5
51,".Lubi odwiedzać ogrody zoologiczne i botaniczne, przebywać na zewnątrz, angażować się w sporty i posiłki w restauracjach lub kawiarniach, w których dostępne są lokalne potrawy.Jego zainteresowania leżą w sporcie, ogrodnictwie i prowadzeniu jazdy.Znajduje przyjemność z aktywnego odpoczynku, spacerując na niskich wysokościach z rodziną, eksplorującą historyczne miejsca i ciesząc się zwierzętami",Planuję wycieczkę 15 do 20 lipca 2024,4,5,2,5,5,0,5,5,5,5,5,4,0,3,2,5,5,5,5,5,5,5,5,4,5,5,5,5,3,2,2,2,3,4,1,2,4,3,4,3,3,3,4,4,5,5,5,5,5,2,4,4,2
52,"Jednak jeśli chodzi o odwiedzanie atrakcji turystycznych, wolę spędzać czas w miejscach takich jak parki na rolkach, linie zamka błyskawiczne, budynki wspinaczkowe i kody zip..Dodatkowo lubię modę, projekt odzieży i ogólnie rysunek.Lubię oglądać sport artystyczny i obserwować ich historię, która jest również moim hobby","za tydzień, od wieczora 17 listopada do południa 19 listopada",5,2,5,3,3,4,2,5,0,3,1,3,1,1,1,2,2,2,3,0,1,1,1,3,3,2,3,1,0,0,0,2,3,3,2,4,3,2,2,3,4,2,2,2,3,5,4,4,4,5,5,3,5
53,".Lubię grać w gry planszowe i jazdę na rowerze, ale mój wolny czas jest ograniczony.Wolę posiłki w restauracjach lub kawiarniach niż jeść poza domem.Główne rzeczy, które lubię w muzeach, są zajęcia, chociaż nie mam konkretnego faworyta.Jeśli znajdę coś do zrobienia w wolnych godzinach, zwykle przeznaczam swój czas na spotkania z przyjaciółmi",od 10 do 11 listopada,5,4,5,5,5,5,4,3,5,5,5,3,4,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
54,".Często jem w restauracjach, cieszę się mechaniką samochodową, ustalaj komputery z gitarą i spędzam większość wolnego czasu na bawiąc się w zamkach lub bunkrach",W środe od 13 do 18 czerwca ,5,3,4,3,5,4,4,3,4,5,3,2,5,3,4,5,3,5,5,5,4,2,3,2,5,5,5,5,5,4,5,3,3,4,2,4,5,5,3,4,3,4,2,3,5,3,3,5,3,5,3,4,5
55,"Głównymi obszarami zainteresowania są nowe technologie i problemy naukowe, a także badanie historii miejsc i atrakcji odwiedzających wykorzystujące nowe technologie do nauki..Nie mam preferencji związanych z aktywnością fizyczną i cieszenie się kuchnią śródziemnomorską",Od najbliższego piątku do poniedziałku.,2,3,1,1,1,0,1,1,1,2,3,1,2,3,3,3,4,1,1,2,1,1,2,3,4,4,3,3,2,2,1,1,3,1,3,0,0,0,0,1,3,2,2,3,1,0,3,2,2,5,2,1,2
56,"Podobno jeść w spokojnych warunkach, spożywając potrawy z różnych regionów świata i wypróbowywanie nowych żywności, szczególnie tych, które zawierają przepisy polskie, włoskie, hiszpańskie i meksykańskie.Nie lubię odkrywać historycznych miejsc lub odwiedzanie architektury, ale raczej preferuje bardziej niekonwencjonalne i wyjątkowe doświadczenia..Gotowanie i palenie są popularnymi rozrywkami wśród mnie, a ja preferuję aktywną rozrywkę, jednocześnie cieszę się występami tanecznymi w salach balowych",Od 13 do 17 listopada,4,4,2,1,2,4,1,0,0,3,3,2,0,0,1,1,2,1,1,0,0,0,0,2,2,1,1,3,1,2,0,0,0,2,1,3,3,2,4,2,1,1,2,1,3,1,1,3,3,1,2,2,2
57,"Książki, nauka, sztuka i muzyka to wszystko, co uważam za przyjemne..Lubię też spędzać wolny czas z przyjaciółmi na grach planszowych, angażować się w luźne spotkania lub po prostu samotność, aby rozwinąć swoje hobby",od 8 do 13 stycznia ,4,2,1,1,0,4,2,2,4,5,4,2,4,2,4,4,5,5,5,5,5,5,5,5,5,4,4,3,3,4,4,4,5,3,3,5,3,5,4,5,5,4,4,3,3,2,5,4,3,3,2,5,3
58,"Lubię też grać w pasywne i aktywne gry, pokoje ucieczki, ośrodki naukowe, miejsca z pięknymi widokami, wycieczki rowerowe, wanny z hydromasażem i restauracje, które oferują lokalne potrawy lub specjalną kuchnię zagraniczną, taką jak Indian lub Azja.Lubię gry planszowe, książki karne i prawdziwe podcasty przestępcze.",Od 1 lipca do 7 lipca,5,3,3,2,5,3,1,1,1,4,5,5,2,3,5,5,5,1,4,4,3,3,3,5,5,4,5,4,4,2,1,3,3,0,1,1,3,1,1,5,2,5,5,3,5,4,5,5,5,5,5,5,3
59,"Urodziłem się z brązową odznaką jazdy w 2009 roku, ale pociągi dla srebrnej odznaki również z powodu tego pościgu..Większość czasu spędzam na podróży, w tym kilka sportów śnieżnych.Od najmłodszych lat jego miłość do zwierząt była stałym strumieniem aktywności.Lubi konie, psy (moja ulubiona rasa), koty, papugi, węże i miniaturowe króliki.Mam dwa psy, które są członkami mojej rodziny;To najlepsi towarzysze podczas tej podróży",Wycieczka odbędzie się w dniu 16 listopada 2023 roku od godziny 7:00 do godziny 22:30,2,4,5,1,2,1,1,1,1,3,5,4,3,2,2,5,2,2,2,2,2,1,1,4,3,3,3,1,5,5,5,3,3,1,1,2,0,1,2,3,2,3,2,1,1,3,4,5,5,5,5,2,2
60,"Jestem zainteresowany doświadczeniem różnych sportów artystycznych, w tym ich oglądaniem i obserwowaniem ich historii.Lubię również projektowanie i stylizację ubrań do wypoczynku lub podróżowanie do popularnych miejsc turystycznych, takich jak parki łyżwiarskie, parki wspinaczkowe/upadające i ziplines.","za tydzień, od wieczora 17 listopada do południa 19 listopada",5,2,5,3,3,4,2,5,0,3,1,3,1,1,1,2,2,2,3,0,1,1,1,3,3,2,3,1,0,0,0,2,3,3,2,4,3,2,2,3,4,2,2,2,3,5,4,4,4,5,5,3,5
61,".Grając w RPG, gry planszowe, LARP jest jednym z moich zainteresowań.Lubię odwiedzać muzea i zabytki podczas eksploracji miast;teren górski;Rozkoszowanie się hamburgerów i restauracji z tradycyjnymi polskimi składnikami.Lubię też czytać książki w wolnym czasie w kręgach naukowych",Dwa tygodnie w lipcu,1,1,1,1,3,1,1,2,3,3,3,4,2,2,3,3,4,3,4,3,3,4,4,2,4,4,3,3,2,3,3,3,3,2,2,4,3,3,3,3,4,4,4,5,4,3,5,4,4,3,5,5,3
62,"Lubię grać w gry obejmujące karty i kości, a także matematykę i fizykę.Ponadto interesuję się graniem w gry planszowe i gry komputerowe.",od 2 do 10 sierpnia,3,0,4,1,1,1,0,1,1,4,4,2,0,0,0,3,3,3,5,2,4,4,4,3,4,4,2,1,1,1,1,2,2,1,1,3,2,2,1,3,3,1,2,2,2,0,4,2,2,1,1,3,1
63,"Mój czas wolny poświęcony jest gotowaniu i spalaniu, a także tańcu na tańce balowe..Preferuję odkrywanie interesujących i mniej konwencjonalnych opcji, jeśli chodzi o posiłki, szczególnie w miejscach z akcentem hiszpańskiego lub włoskiego stylu życia;Ponadto moją preferowaną działalnością jest odwiedzanie historycznych miejsc i zabytków, które nie są turystyczne",Od 13 do 17 listopada,4,4,2,1,2,4,1,0,0,3,3,2,0,0,1,1,2,1,1,0,0,0,0,2,2,1,1,3,1,2,0,0,0,2,1,3,3,2,4,2,1,1,2,1,3,1,1,3,3,1,2,2,2
64,".Mam pasję do sztuki, przyrody, architektury i jedzenia",Moim marzeniem jechać jest na wycieczkę  do włoszech z moimi przyjaciółmi w wakacje. Data to przełom lipca i sierpnia rok 2025 na około tydzień do 2 tygodni.,1,0,5,3,5,0,2,4,4,5,4,5,3,2,3,2,3,5,4,5,1,1,1,2,5,2,2,4,3,2,2,2,2,3,3,4,4,5,4,2,5,2,3,2,5,3,4,5,5,2,2,5,5
65,"Mam pasję do historii i literatury, szczególnie klasycznych dzieł..Lubię odwiedzać muzea historycznych i muzea sztuki, a także podróżować i odkrywać określone miejsca.Najbardziej interesują mnie okres międzywojennych i młodych polskich, czytając i pisanie książek","Za tydzień, od 17 do 19 listopada",0,2,1,1,4,0,1,1,2,1,2,3,1,1,2,4,4,3,3,1,2,3,2,4,3,2,1,0,3,2,2,2,2,1,2,1,2,3,2,4,5,5,5,4,5,5,2,5,4,2,2,5,2
66,"Lubię odkrywać nowe miejsca poprzez ryzykowne zajęcia, takie jak zwiedzanie lub odwiedzanie atrakcji, które zapewniają mi ekscytację i jestem przyjazny mieszkańcom.Najbardziej imponujące zabytki miasta to ten, w którym nocne zachody słońca zawsze wydają się spektakularne..Moje zainteresowania leżą w sporcie i muzyce, a moje hobby obejmują granie w perkusję i granie w gry komputerowe",Od 1 do 6 grudnia.,5,5,4,1,4,5,5,3,0,3,2,4,0,3,1,4,4,0,0,0,0,2,2,0,3,3,4,1,1,0,0,0,1,0,0,0,0,0,0,0,4,1,2,2,0,5,4,1,2,5,1,1,3
67,"Lubię łączyć zarówno aktywne, jak i pasywne zajęcia rekreacyjne, a najbardziej poszukiwane miejsca turystyczne to te, które pomagają mi zdobyć nowe umiejętności lub zainteresowania..Moje zainteresowania obejmują różne obszary, takie jak filozofia, literatura fantasy, sport i gitara",W przyszłą sobotę i niedzielę.,4,2,4,3,3,4,5,4,2,3,3,2,1,2,3,4,5,4,4,4,4,4,4,4,5,4,4,3,4,3,3,2,2,4,3,3,4,4,4,3,4,4,4,3,4,3,5,5,5,4,3,5,3
68,"Jestem pasjonatem zarówno tematów muzycznych, jak i medycznych..Lubię też długie spacery i posiłki w kawiarniach.Moje preferowane rozrywki grają na instrumentach i śpiewać, spędzają czas na spacerze po domu, rozmowy z przyjaciółmi, odkrywanie muzyki i miejsc sztuki oraz cieszenie się malowniczymi widokami",15-16 grudnia ,0,2,0,0,1,0,1,2,3,3,3,3,1,2,1,1,2,2,2,2,1,0,0,1,2,1,0,0,0,0,0,0,0,0,1,2,2,2,3,1,1,0,1,2,1,0,3,2,2,0,3,3,2
69,"Większość czasu spędzam w różnych dyscyplinach, w tym poświęcanie się firmie dla zwierząt..Rozwinął także powinowactwo do koni, psów, kotów, papug, gołębi węża i jest żonaty z psem o imieniu „Bob”.Mam pasję do jazdy konnej i robię to od dzieciństwa.Jego miłość do zwierząt była stałym tematem przez całe życie.Ukończyłem swoją odznakę jazdy i obecnie trenuję szkolenie dla srebrnej odznaki, a także uczestniczę w seminariach, w których dowiem się o tej działalności",Wycieczka odbędzie się w dniu 16 listopada 2023 roku od godziny 7:00 do godziny 22:30,2,4,5,1,2,1,1,1,1,3,5,4,3,2,2,5,2,2,2,2,2,1,1,4,3,3,3,1,5,5,5,3,3,1,1,2,0,1,2,3,2,3,2,1,1,3,4,5,5,5,5,2,2
70,"Lubię jeździć na rowerze w wolnym czasie, zwiedzać atrakcje turystyczne w tradycyjny sposób, takie jak chodzenie po zamkach, aktywność podczas jedzenia w barach mlecznych i zabieranie łuków.","W czwartek rano, od 15 do 30 listopada",2,1,3,1,3,5,3,4,3,4,2,4,5,2,2,4,5,5,3,4,3,2,2,4,5,5,5,5,5,5,5,3,2,3,2,5,4,2,2,5,3,2,1,0,2,4,3,5,4,3,2,4,2
71,"Jeśli chodzi o wybór posiłków, często wybieram lokalne specjały lub potrawy egzotyczne..Jestem szczególnie zainteresowany studiowaniem fizyki, matematyki i historii.Ilekroć mam wolny czas, lubię czytać książki, rysować i uczyć się nowych języków.Jednak znajduję również przyjemność z aktywnego uczestnictwa, ale również szukam spokojnych chwil, spędzając czas z rodziną lub przyjaciółmi",24 listopada ,5,3,5,3,5,0,2,2,1,1,1,2,2,2,3,4,5,1,1,1,1,1,1,2,5,5,5,5,5,5,3,4,4,5,4,3,4,3,4,2,0,0,2,1,1,0,5,4,4,1,1,1,1
72,".Moje preferowane rozrywki to restauracja, mechanika samochodowa, naprawy komputerów, gra na gitarze i spędzanie czasu z rodziną",W środe od 13 do 18 czerwca ,5,3,4,3,5,4,4,3,4,5,3,2,5,3,4,5,3,5,5,5,4,2,3,2,5,5,5,5,5,4,5,3,3,4,2,4,5,5,3,4,3,4,2,3,5,3,3,5,3,5,3,4,5
73,"Najbardziej imponujące zabytki miasta to te, które oferują oszałamiające wrażenia nocne.Ponadto lubię odkrywać nowe miejsca w niekonwencjonalny sposób, jednocześnie ciesząc się emocjami związanymi z odwiedzaniem ekscytujących atrakcji i spotykania świeżych twarzy..Jako osoba, która lubi sport i muzykę, mam powinowactwo do grania na perkusji i grania w gry komputerowe",Od 1 do 6 grudnia.,5,5,4,1,4,5,5,3,0,3,2,4,0,3,1,4,4,0,0,0,0,2,2,0,3,3,4,1,1,0,0,0,1,0,0,0,0,0,0,0,4,1,2,2,0,5,4,1,2,5,1,1,3
74,"Ponadto lubię kuchnię śródziemnomorską i nie mam żadnych preferencji dotyczących aktywności fizycznej lub wolności..Jestem pasjonatem odkrywania nowych technologii i problemów naukowych, a także poznaniem historii miejsc wraz z atrakcjami, które oferują praktyczne możliwości uczenia się",Od najbliższego piątku do poniedziałku.,2,3,1,1,1,0,1,1,1,2,3,1,2,3,3,3,4,1,1,2,1,1,2,3,4,4,3,3,2,2,1,1,3,1,3,0,0,0,0,1,3,2,2,3,1,0,3,2,2,5,2,1,2
